,ticker,date,company_name,prc,industry,returns,AI,ESG,artificial_intelligence,index
0,AAPL,2023-11-03,APPLE INC,176.64999,Technology,0.0898953348369847,221,2,1,0
1,AAPL,2022-10-28,APPLE INC,155.74001,Technology,0.08218812879233779,226,2,0,1
2,AAPL,2021-10-29,APPLE INC,149.8,Technology,0.12510006675567406,268,4,0,2
3,AAPL,2020-10-30,APPLE INC,108.86,Technology,0.548226988792945,275,3,0,3
4,AAPL,2019-10-31,APPLE INC,248.75999,Technology,0.35029748956011786,200,3,0,4
5,ACN,2023-10-12,ACCENTURE PLC IRELAND,304.35999,Information Technology,0.1529439201256382,3519,68,1,5
6,ACN,2022-10-12,ACCENTURE PLC IRELAND,250.07001,Information Technology,0.08249689756880493,3101,53,9,6
7,ACN,2021-10-15,ACCENTURE PLC IRELAND,341.82001,Information Technology,-0.20806271698371315,752,10,8,7
8,ACN,2020-10-22,ACCENTURE PLC IRELAND,228.14,Information Technology,0.18655216095380045,694,13,6,8
9,ACN,2019-10-29,ACCENTURE PLC IRELAND,184.8,Information Technology,0.34604978354978344,197,1,7,9
10,ADBE,2023-01-17,ADOBE INC,344.38,Technology,0.5944595504965444,433,6,10,11
11,ADBE,2022-01-21,ADOBE INC,499.91,Technology,-0.26822826108699566,392,7,10,12
12,ADBE,2021-01-15,ADOBE INC,458.07999,Technology,-0.12054663204127303,521,6,11,13
13,ADBE,2020-01-21,ADOBE INC,350.0,Technology,0.15102854285714282,434,5,10,14
14,ADBE,2019-01-25,ADOBE INC,244.95,Technology,0.4913247193304756,2462,14,2,15
15,ADP,2023-08-03,AUTOMATIC DATA PROCESSING INC,248.0,Information Technology,-0.06060483870967742,16072,243,8,16
16,ADP,2022-08-03,AUTOMATIC DATA PROCESSING INC,244.32001,Information Technology,-0.08754919419002968,2980,64,2,17
17,ADP,2021-08-04,AUTOMATIC DATA PROCESSING INC,212.0,Information Technology,0.26391514150943407,2701,46,2,18
18,ADP,2020-08-05,AUTOMATIC DATA PROCESSING INC,134.77,Information Technology,0.9882021963344958,1703,26,1,19
19,ADP,2019-08-09,AUTOMATIC DATA PROCESSING INC,167.73,Information Technology,0.5975079592201755,1604,15,1,20
20,ADSK,2023-03-14,AUTODESK INC,199.22,Technology,0.024194307800421595,348,8,8,21
21,ADSK,2022-03-14,AUTODESK INC,188.7,Technology,-0.0008479597244303114,289,3,10,22
22,ADSK,2021-03-19,AUTODESK INC,261.5,Technology,-0.27900577437858515,278,11,9,23
23,ADSK,2020-03-19,AUTODESK INC,149.23,Technology,0.26341881659183813,263,3,0,24
24,ADSK,2019-03-25,AUTODESK INC,154.69,Technology,0.21882468162130708,285,3,0,25
25,AMGN,2023-02-09,AMGEN INC,240.0,Healthcare,0.12379162500000002,545,24,0,27
26,AMGN,2022-02-16,AMGEN INC,222.66,Healthcare,0.2736908739782628,564,17,0,28
27,AMGN,2021-02-09,AMGEN INC,236.64999,Healthcare,-0.02421293151121627,555,9,0,29
28,AMGN,2020-02-12,AMGEN INC,227.0,Healthcare,0.017268722466960297,478,9,0,31
29,AMGN,2019-02-13,AMGEN INC,188.98,Healthcare,0.19668742724097796,267,3,0,32
30,AMZN,2023-02-03,AMAZON COM INC,103.39,Consumer Discretionary,0.25089467066447446,187,2,3,34
31,AMZN,2022-02-04,AMAZON COM INC,3152.79,Consumer Discretionary,-0.9589791898604094,226,6,3,35
32,AMZN,2021-02-03,AMAZON COM INC,3312.53,Consumer Discretionary,-0.9609573347260252,166,1,2,36
33,AMZN,2020-01-31,AMAZON COM INC,2008.72,Consumer Discretionary,0.6049126309291488,165,2,3,37
34,AMZN,2019-02-01,AMAZON COM INC,1626.23,Consumer Discretionary,0.9823887764953296,142,1,1,38
35,AVGO,2023-12-14,BROADCOM INC,1106.49,Technology,0.008820685229871025,256,11,2,39
36,AVGO,2022-12-16,BROADCOM INC,555.90997,Technology,0.5732043805582402,265,4,2,40
37,AVGO,2021-12-17,BROADCOM INC,634.96002,Technology,-0.27543468012363986,294,4,2,41
38,AVGO,2020-12-18,BROADCOM INC,434.56,Technology,0.46115615795287185,378,8,2,42
39,AVGO,2019-12-20,BROADCOM INC,319.0,Technology,0.9904702821316614,329,3,0,43
40,AXP,2023-02-10,AMERICAN EXPRESS CO,179.25,Financials,-0.10605294281729422,574,22,5,45
41,AXP,2022-02-11,AMERICAN EXPRESS CO,191.81,Financials,-0.18794645743183366,506,14,5,46
42,AXP,2021-02-12,AMERICAN EXPRESS CO,129.62,Financials,0.20166633235611775,520,8,6,47
43,AXP,2020-02-13,AMERICAN EXPRESS CO,134.46001,Financials,0.22058595711840265,559,8,3,48
44,AXP,2019-02-13,AMERICAN EXPRESS CO,107.56,Financials,0.5258460394198587,261,8,2,49
45,BA,2023-01-27,BOEING CO,211.17,Industrials,0.10749632997111341,549,11,0,51
46,BA,2022-01-31,BOEING CO,200.24001,Industrials,0.03890326413787129,605,9,0,52
47,BA,2021-02-01,BOEING CO,195.84,Industrials,-0.06735094975490197,574,10,0,53
48,BA,2020-01-31,BOEING CO,318.26999,Industrials,-0.460143854593391,545,9,1,54
49,BA,2019-02-08,BOEING CO,404.91,Industrials,-0.5756587636758786,439,4,1,55
50,BLK,2023-02-24,BLACKROCK INC,683.42999,Financials,-0.05909897222976704,331,45,0,57
51,BLK,2022-02-25,BLACKROCK INC,750.87,Financials,-0.07780306844060887,311,29,0,58
52,BLK,2021-02-25,BLACKROCK INC,694.78998,Financials,-0.0033678810393897645,275,2,0,59
53,BLK,2020-02-28,BLACKROCK INC,463.01001,Financials,0.8601325919497937,259,6,0,60
54,BLK,2019-02-28,BLACKROCK INC,443.22,Financials,0.9431885068363339,224,2,0,61
55,CAT,2023-02-15,CATERPILLAR INC,248.7,Industrials,0.017571411338962638,494,6,0,63
56,CAT,2022-02-16,CATERPILLAR INC,203.64,Industrials,0.24273232174425463,673,6,0,64
57,CAT,2021-02-17,CATERPILLAR INC,202.3,Industrials,0.250963964409293,1060,21,0,65
58,CAT,2020-02-19,CATERPILLAR INC,136.86,Industrials,0.8491159579131957,1006,32,0,66
59,CAT,2019-02-14,CATERPILLAR INC,132.62,Industrials,0.9082341275825666,2890,29,0,67
60,CL,2023-02-16,COLGATE PALMOLIVE CO,72.769997,Consumer Staples,0.0009619211609971029,8658,193,0,69
