date,ticker,company_name,prc,industry
2020-06-11,AAPL,APPLE INC,335.89999,Technology
2023-05-02,AAPL,APPLE INC,168.53999,Technology
2022-08-15,AAPL,APPLE INC,173.19,Technology
2020-12-29,AAPL,APPLE INC,134.87,Technology
2023-10-13,AAPL,APPLE INC,178.85001,Technology
2022-06-30,AAPL,APPLE INC,136.72,Technology
2023-05-19,AAPL,APPLE INC,175.16,Technology
2020-09-22,AAPL,APPLE INC,111.81,Technology
2023-04-19,AAPL,APPLE INC,167.63,Technology
2021-04-28,AAPL,APPLE INC,133.58,Technology
2020-03-10,AAPL,APPLE INC,285.34,Technology
2023-04-17,AAPL,APPLE INC,165.23,Technology
2020-09-30,AAPL,APPLE INC,115.81,Technology
2019-04-02,AAPL,APPLE INC,194.02,Technology
2019-06-27,AAPL,APPLE INC,199.74001,Technology
2019-04-30,AAPL,APPLE INC,200.67,Technology
2020-12-22,AAPL,APPLE INC,131.88,Technology
2023-07-07,AAPL,APPLE INC,190.67999,Technology
2023-07-10,AAPL,APPLE INC,188.61,Technology
2020-07-30,AAPL,APPLE INC,384.76001,Technology
2022-09-07,AAPL,APPLE INC,155.96001,Technology
2023-05-09,AAPL,APPLE INC,171.77,Technology
2019-10-02,AAPL,APPLE INC,218.96001,Technology
2023-04-04,AAPL,APPLE INC,165.63,Technology
2022-03-17,AAPL,APPLE INC,160.62,Technology
2023-07-24,AAPL,APPLE INC,192.75,Technology
2023-03-30,AAPL,APPLE INC,162.36,Technology
2023-08-02,AAPL,APPLE INC,192.58,Technology
2020-11-03,AAPL,APPLE INC,110.44,Technology
2020-11-02,AAPL,APPLE INC,108.77,Technology
2023-09-28,AAPL,APPLE INC,170.69,Technology
2020-10-29,AAPL,APPLE INC,115.32,Technology
2023-07-31,AAPL,APPLE INC,196.45,Technology
2021-06-28,AAPL,APPLE INC,134.78,Technology
2022-07-28,AAPL,APPLE INC,157.35001,Technology
2023-08-24,AAPL,APPLE INC,176.38,Technology
2023-08-29,AAPL,APPLE INC,184.12,Technology
2022-09-30,AAPL,APPLE INC,138.2,Technology
2022-04-27,AAPL,APPLE INC,156.57001,Technology
2023-09-01,AAPL,APPLE INC,189.46001,Technology
2022-06-21,AAPL,APPLE INC,135.87,Technology
2022-12-02,AAPL,APPLE INC,147.81,Technology
2020-12-17,AAPL,APPLE INC,128.7,Technology
2020-10-21,AAPL,APPLE INC,116.87,Technology
2023-09-26,AAPL,APPLE INC,171.96001,Technology
