ticker,cik,urls
AAPL,0000320193,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106-index.htm
AAPL,0000320193,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm
AAPL,0000320193,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm
AAPL,0000320193,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm
AAPL,0000320193,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.htm
ACN,0001467373,https://www.sec.gov/Archives/edgar/data/1467373/000146737323000324/0001467373-23-000324-index.htm
ACN,0001467373,https://www.sec.gov/Archives/edgar/data/1467373/000146737322000295/0001467373-22-000295-index.htm
ACN,0001467373,https://www.sec.gov/Archives/edgar/data/1467373/000146737321000229/0001467373-21-000229-index.htm
ACN,0001467373,https://www.sec.gov/Archives/edgar/data/1467373/000146737320000376/0001467373-20-000376-index.htm
ACN,0001467373,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000339/0001467373-19-000339-index.htm
ADBE,0000796343,https://www.sec.gov/Archives/edgar/data/796343/000079634324000006/0000796343-24-000006-index.htm
ADBE,0000796343,https://www.sec.gov/Archives/edgar/data/796343/000079634323000007/0000796343-23-000007-index.htm
ADBE,0000796343,https://www.sec.gov/Archives/edgar/data/796343/000079634322000032/0000796343-22-000032-index.htm
ADBE,0000796343,https://www.sec.gov/Archives/edgar/data/796343/000079634321000004/0000796343-21-000004-index.htm
ADBE,0000796343,https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/0000796343-20-000013-index.htm
ADBE,0000796343,https://www.sec.gov/Archives/edgar/data/796343/000079634319000019/0000796343-19-000019-index.htm
ADP,0000008670,https://www.sec.gov/Archives/edgar/data/8670/000000867023000030/0000008670-23-000030-index.htm
ADP,0000008670,https://www.sec.gov/Archives/edgar/data/8670/000000867022000038/0000008670-22-000038-index.htm
